"games" "Freq"
"1" "1" 100000
"2" "3" 2841
"3" "4" 5645
"4" "5" 9603
"5" "6" 11293
"6" "7" 14608
"7" "8" 18296
"8" "9" 16751
"9" "10" 15304
"10" "11" 35994
"11" "12" 14527
"12" "13" 15257
"13" "14" 11760
"14" "15" 14570
"15" "16" 16964
"16" "17" 16798
"17" "18" 16385
"18" "19" 17455
"19" "20" 16913
"20" "21" 17201
"21" "22" 15673
"22" "23" 17099
"23" "24" 15719
"24" "25" 17679
"25" "26" 17770
"26" "27" 15565
"27" "28" 15480
"28" "29" 15860
"29" "30" 14910
"30" "31" 15151
"31" "32" 15069
"32" "33" 15028
"33" "34" 15359
"34" "35" 14298
"35" "36" 13955
"36" "37" 13230
"37" "38" 12698
"38" "39" 12292
"39" "40" 15369
