"games" "Freq"
"1" "1" 169328
"2" "2" 69024
"3" "3" 71449
"4" "4" 79280
"5" "5" 82506
"6" "6" 79488
"7" "7" 88684
"8" "8" 85989
"9" "9" 99385
"10" "10" 82100
"11" "11" 211079
"12" "12" 83878
"13" "13" 90890
"14" "14" 77953
"15" "15" 92990
"16" "16" 100632
"17" "17" 95964
"18" "18" 98037
"19" "19" 99297
"20" "20" 98493
"21" "21" 100135
"22" "22" 91329
"23" "23" 111213
"24" "24" 90877
"25" "25" 101891
"26" "26" 101691
"27" "27" 88727
"28" "28" 92969
"29" "29" 98779
"30" "30" 85512
"31" "31" 86874
"32" "32" 87523
"33" "33" 91263
"34" "34" 88742
"35" "35" 81686
"36" "36" 79586
"37" "37" 75553
"38" "38" 81211
"39" "39" 70864
"40" "40" 86448
